Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
35-44,Government and Public Administration,Senior Auditor ,110000,0,USD,United States,California,Los Angeles,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Government and Public Administration,Executive Officer,33689,0,EUR,Ireland,Unknown,Cork,5-7 years,2 - 4 years,Master's degree,Woman
45-54,Computing or Tech,System Engineer,115000,0,CHF,Switzerland,Unknown,Geneva,11 - 20 years,11 - 20 years,PhD,Man
35-44,Engineering or Manufacturing,Senior consultant,55000,3850,GBP,United Kingdom,Unknown,Derby,11 - 20 years,11 - 20 years,Master's degree,Man
35-44,Computing or Tech,Principal Software Engineering Manager,97500,30000,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,College degree,Man
25-34,"Accounting, Banking & Finance",investment administrator,28000,0,GBP,United Kingdom,Unknown,Thame,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Recruitment or HR,HR Manager,37333,1750,GBP,United Kingdom,Unknown,East Sussex,8 - 10 years,8 - 10 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Cash Posting,37500,3000,USD,United States,Wisconsin,Madison,21 - 30 years,8 - 10 years,High School,Woman
45-54,Engineering or Manufacturing,PA to CEO,30000,1000,GBP,United Kingdom,Unknown,Birmingham ,31 - 40 years,31 - 40 years,Some college,Woman
25-34,Property or Construction,General Manager,155000,100000,USD,United States,Virginia,Williamsburg,11 - 20 years,8 - 10 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Brand and campaigns officer,74400,8000,AUD/NZD,United States,Unknown,Brisbane,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Law,Staff Attorney,65500,0,USD,United States,Massachusetts,"Springfield, MA",11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man
35-44,Education (Higher Education),Assistant Professor,45000,5000,USD,United States,West Virginia,Keyser,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Law,Of Counsel ,200000,40000,USD,United States,Maryland,Baltimore ,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Education (Higher Education),Archivist,45000,0,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Senior Editor & Director,50000,35000,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Media & Digital,Supervising producer,120000,15000,AUD/NZD,United States,Unknown,Sydney,11 - 20 years,11 - 20 years,College degree,Woman
35-44,ECommerce ,Executive assistant ,120000,12000,USD,United States,Pennsylvania,Philadelphia suburbs ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,EA,55000,0,GBP,United Kingdom,Unknown,London,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Assistant principal ,103000,0,USD,United States,New Jersey,Camden,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Property or Construction,Senior Operations Associate,50000,0,USD,United States,Illinois,Buffalo Grove,11 - 20 years,2 - 4 years,Some college,Woman
25-34,Education (Primary/Secondary),Teacher elementary ,51500,0,USD,United States ,Tennessee,Franklin,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Education (Higher Education),Payroll and Data Specialist,25941,250,GBP,United Kingdom,Unknown,"Leeds,UK",8 - 10 years,8 - 10 years,College degree,Woman
35-44,Retail,Bussiness assistant,233160,9407,Other,Czech Republic,Unknown,Chomutov,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,Research Assistant,72800,0,AUD/NZD,United States,Unknown,Hobart,8 - 10 years,8 - 10 years,High School,Woman
45-54,Computing or Tech,Software Developer,81000,5000,CAD,Canada,Unknown,St. John's,11 - 20 years,11 - 20 years,College degree,Man
25-34,Nonprofits,"Senior Manager, External Affairs",40000,0,GBP,United Kingdom,Unknown,London,5-7 years,5-7 years,Master's degree,Woman
25-34,Government and Public Administration,Senior Policy Advisor ,36000,0,GBP,United Kingdom ,Unknown,Bristol ,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Health care,Mental Health Counselor,75000,0,USD,United States,New Hampshire,Near Boston,21 - 30 years,5-7 years,Master's degree,Woman
35-44,Property or Construction,HVAC technican,56160,0,USD,United States,"District of Columbia, Maryland, Virginia","Washington, DC - Baltimore, MD area.",21 - 30 years,5-7 years,College degree,Man
35-44,Nonprofits,Archaeologist,44850,0,USD,United States,New Hampshire,Portsmouth,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Health care,Pharmacy Technician,14400,200,GBP,United Kingdom ,Unknown,Scunthorpe ,8 - 10 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Lead Engineer,75000,0,USD,United States,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Man
35-44,Nonprofits,Digital Productions Coordinator ,55100,0,USD,United States,New Hampshire,Concord,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Nonprofits,Controller,74000,0,USD,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Executive Assistant,28000,0,EUR,Spain,Unknown,Madrid,31 - 40 years,21 - 30 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Director of Accounting,65000,3250,USD,United States,Florida,Fort Myers,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Associate Director,54000,1000,GBP,United Kingdom,Unknown,Newcastle Upon Tyne,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Account Manager,55,12,USD,United States,New Hampshire,Manchester,21 - 30 years,8 - 10 years,College degree,Woman
35-44,Consultant,Owner,60000,100000,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Man
55-64,"Accounting, Banking & Finance",VP Marketing ,80000,0,USD,United States,Massachusetts,Salem,31 - 40 years,11 - 20 years,College degree,Woman
25-34,Research ,Samples and Partner Relationship Manager,54000,0,GBP,United Kingdom,Unknown,Cambridge,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Engineering or Manufacturing,R&D Engineer,60000,0,EUR,Netherlands,Unknown,Weert,5-7 years,5-7 years,PhD,Woman
35-44,"Accounting, Banking & Finance",Treasury Manager,115000,0,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer
25-34,Government and Public Administration,Programme Coordinator ,66000,0,AUD/NZD,New Zealand ,Unknown,Wellington ,8 - 10 years,8 - 10 years,High School,Woman
18-24,Engineering or Manufacturing,Software Engineer,134000,20000,USD,United States,California,San Francisco,2 - 4 years,2 - 4 years,Some college,Woman
25-34,Government and Public Administration,Attorney Advisor,152000,1000,USD,United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Education (Higher Education),Assistant professor,170000,40000,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,PhD,Man
35-44,Business or Consulting,Consultant,55000,2500,GBP,United Kingdom,Unknown,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Auditor,30,0,EUR,spain,Unknown,barcelona,8 - 10 years,5-7 years,Unknown,Other or prefer not to answer
35-44,Computing or Tech,Architect ,295000,50000,USD,United States ,Illinois,Chicago,11 - 20 years,2 - 4 years,High School,Unknown
45-54,Engineering or Manufacturing,Senior Mechanical Engineer ,107000,3000,USD,United States,Missouri,Kansas City area,21 - 30 years,21 - 30 years,College degree,Man
35-44,Entertainment,VFX Producer - Post Production,140000,15000,USD,United States ,New York,New York,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer
25-34,Business or Consulting,Assistant Project Manager,32000,1600,GBP,United Kingdom,Unknown,Nottingham,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Data scientist,51000,4250,EUR,Netherlands,Unknown,Utrecht,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Business or Consulting,Manager,179000,80000,USD,United States,New York,New York,5-7 years,5-7 years,College degree,Man
25-34,Health care,Program Coordinator ,54000,0,USD,United States,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Government and Public Administration,Operations Management Consultant 2,62540,0,USD,United States,Florida,West Palm Beach,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Computing or Tech,Marketing Content Manager,150000,7500,USD,United States,California,San Francisco (nominally; I work from home now due to COVID),31 - 40 years,21 - 30 years,College degree,Woman
25-34,Engineering or Manufacturing,Senior Software Engineer,47500,1500,GBP,Scotland,Unknown,Edinburgh,8 - 10 years,8 - 10 years,Master's degree,Man
35-44,Computing or Tech,Vice President,140000,40000,USD,United States,Utah,Salt Lake City,11 - 20 years,8 - 10 years,Some college,Man
25-34,Computing or Tech,junior software designer,39600,0,EUR,Finland,Unknown,Espoo,2 - 4 years,2 - 4 years,Some college,Woman
35-44,Business or Consulting,Director of HR and People Operations,61600,0,USD,United States,Florida,Orlando,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
35-44,"Accounting, Banking & Finance",Financial Analyst,73000,0,USD,United States,Ohio,Columbus,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Impact and Performance Manager,43000,0,GBP,United Kingdom,Unknown,Swindon,8 - 10 years,5-7 years,PhD,Woman
25-34,Government and Public Administration,Senior Policy Advisor,52000,2500,GBP,United Kingdom,Unknown,London,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,Associate Director Analytics,62000,0,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Communications Executive,22330,0,GBP,United Kingdom,Unknown,"Leeds, UK",2 - 4 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Product Design Manager,250000,350000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man
25-34,"Accounting, Banking & Finance",Product Manager,125000,5000,USD,United States,Texas,Dallas,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Policy Specialist ,130000,0,AUD/NZD,United States,Unknown,Perth,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Health care,Molecular Scientist,35000,3000,GBP,United Kingdom,Unknown,Cambridge,5-7 years,5-7 years,Master's degree,Man
25-34,Health care,registered nurse,53000,6000,USD,United States,Ohio,Columbus,5-7 years,2 - 4 years,College degree,Man
35-44,Computing or Tech,Software Engineering Manager,175000,0,AUD/NZD,United States,Unknown,Sydney,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Development and communications manager,55000,0,USD,United States,Vermont,"Shrewsbury, VT",8 - 10 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Engineering Manager,172000,0,USD,United States,Massachusetts,Littleton,11 - 20 years,11 - 20 years,College degree,Man
45-54,"Accounting, Banking & Finance",Senior Tax Analyst,49088,3000,USD,United States,West Virginia,Martinsburg,21 - 30 years,5-7 years,College degree,Woman
25-34,Chemical,Scientist,110000,0,CHF,Switzerland,Unknown,Basel,2 - 4 years,2 - 4 years,PhD,Woman
25-34,Computing or Tech,Senior data scientist,82000,1000,EUR,Ireland,Unknown,Dublin,5-7 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,Technical Specialist,93000,0,USD,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Entertainment,Customer Service Rep,20800,0,GBP,United Kingdom,Unknown,London,5-7 years,2 - 4 years,College degree,Woman
25-34,Law,Information Manager,63500,0,GBP,United Kingdom,Unknown,London ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofits,Sr. Director of Constituent Engagement   ,87000,0,USD,United States,Massachusetts,Western MA,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Health care,Endoscopy IT Manager,24907,0,GBP,United Kingdom,Unknown,Plymouth (UK),8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Media & Digital,Head of Strategic Partnerships,117000,38000,USD,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Manufacturing,Director of Finance / HR,83408,7500,USD,United States,Michigan,Kalamazoo,41 years or more,41 years or more,College degree,Woman
35-44,Aerospace and Defense Manufacturing,Solutions Control Specialist (Chemist)/Wastewater Pretreatment Facility Chief Operator,60000,700,USD,United States,"Massachusetts, Vermont",Brattleboro,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Law,Executive Assistant,30150,0,GBP,Scotland,Unknown,Edinburgh,21 - 30 years,11 - 20 years,High School,Woman
25-34,Retail,Ecommerce account leader,98000,9800,USD,United States,North Carolina,Wilmington ,11 - 20 years,11 - 20 years,College degree,Man
45-54,Computing or Tech,Information Security Manager,180000,0,USD,United States,District of Columbia,Washington DC,31 - 40 years,31 - 40 years,Master's degree,Man
35-44,Executive search,Executive assistant,95000,20000,USD,United States,New York,NYC,11 - 20 years,5-7 years,Master's degree,Woman
45-54,Computing or Tech,executive assistant,87318,6850,USD,United States,Virginia,"Reston, VA",21 - 30 years,5-7 years,High School,Woman
25-34,Government contractor,Project Manager,90000,2000,USD,United States,Virginia,Leesburg VA,5-7 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Engineering Coordinator,22500,0,GBP,United Kingdom,Unknown,Shoreham-by-Sea,11 - 20 years,2 - 4 years,Some college,Woman
25-34,Education (Primary/Secondary),Intervention Specialist,67000,0,USD,United States,Ohio,NE Ohio,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,Economist,56295,5000,USD,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,College degree,Man
25-34,Business or Consulting,Engineer,83200,0,USD,United States,Texas,Houston,5-7 years,5-7 years,College degree,Man
25-34,Insurance,Utilization Management Nurse,70000,5000,USD,United States,North Carolina,Wilmington/ WFH,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Accounting assistant,40000,500,EUR,Netherlands,Unknown,Amsterdam,5-7 years,5-7 years,Master's degree,Woman
45-54,Education (Higher Education),Professor,87000,14000,USD,United States,Hawaii,Honolulu,11 - 20 years,8 - 10 years,Master's degree,Man
35-44,Computing or Tech,Product Manager,135000,1200000,USD,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Man
45-54,Biotech,"Senior Director, Quality Systems",225000,55000,USD,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Some college,Man
25-34,Social Work,Behavioral Health Supervisor,72000,500,USD,United States,Georgia,Atlanta,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Project Manager,98800,22000,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Regional Finance Director,156000,35000,USD,United States,Virginia,Alexandria,11 - 20 years,8 - 10 years,Master's degree,Woman
55-64,Media & Digital,Senior Editor,95000,3000,USD,United States,New York,New York,41 years or more,41 years or more,Some college,Woman
25-34,Sales,Product Manager,55000,0,EUR,Germany,Unknown,Karlsruhe,5-7 years,2 - 4 years,PhD,Woman
35-44,Hospitality & Events,Managing Partner,75000,50000,USD,United States,Georgia,Warner Robins,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Utilities & Telecommunications,Administrative Assistant,38563,200,USD,United States,Ohio,Tallmadge,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Property or Construction,Construction Safety Rep,76000,7000,USD,United States,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Business or Consulting,Manager,34000,1400,USD,Malaysia,Unknown,Kuala Lumpur,5-7 years,5-7 years,Master's degree,Man
25-34,"Accounting, Banking & Finance",Strategic programs manager ,200000,30000,AUD/NZD,United States,Unknown,Sydney,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Director of Content,120000,88200,USD,United States,Unknown,Chicago,8 - 10 years,5-7 years,College degree,Woman
25-34,Media & Digital,Senior Manager,78000,11700,EUR,Netherlands,Unknown,Amsterdam,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Product Manager,135000,1200000,USD,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Man
35-44,Government and Public Administration,Chief Fiscal Officer,53,0,USD,United States,Ohio,Akron,11 - 20 years,8 - 10 years,Master's degree,Man
45-54,Nonprofits,Senior director of content,140000,3000,USD,United States,Wyoming,Green Bay,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Health care,CRNA,156000,10000,USD,United States,North Carolina,Winston-Salem,5-7 years,2 - 4 years,Master's degree,Woman
25-34,Law,Document Review Attorney ,50000,0,USD,United States,North Carolina,Charlotte ,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
65 or over,Engineering or Manufacturing,Field Service Technician,52000,10000,USD,United States,Illinois,Rockford,41 years or more,11 - 20 years,College degree,Man
35-44,Engineering or Manufacturing,Quality Engineer,136000,35000,USD,United states,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofit - LORT D Theater,Assistant Technical Director,43000,0,USD,United States,New Jersey,Red Bank,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Government and Public Administration,Lead Business Analyst,117400,0,USD,United States,District of Columbia,Washington DC,5-7 years,5-7 years,College degree,Man
35-44,Insurance,Data Scientist,105300,8400,USD,United States,Illinois,Northbrook,11 - 20 years,2 - 4 years,College degree,Man
35-44,Business or Consulting,Sales and Pricing Senior Manager,82740,4000,GBP,United Kingdom,Unknown,London,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Research Institute,Project manager,38000,0,GBP,United Kingdom,Unknown,London,5-7 years,5-7 years,College degree,Woman
35-44,Law,Executive Assistant,22400,400,GBP,United Kingdom,Unknown,Cambridge,2 - 4 years,1 year or less,College degree,Woman
18-24,Business or Consulting,Data services associate ,39000,500,USD,United States ,Virginia,Charlottesville ,1 year or less,1 year or less,College degree,Woman
55-64,Computing or Tech,Senior Principle Cyber Software Engineer,136000,0,USD,United States,Ohio,Dayton,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,Nonprofits,Campaign Analyst,77000,0,AUD/NZD,United States,Unknown,Melbourne,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Vice President,70000,13000,GBP,United Kingdom,Unknown,Manchester,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Environmental scientist,59000,0,USD,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,PhD,Woman
35-44,Transport or Logistics,Customs broker ,53000,2000,CAD,Canada,Unknown,Winnipeg,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Government and Public Administration,Admin. Assistant,35000,0,USD,United States,Maryland,QAC,5-7 years,2 - 4 years,College degree,Woman
25-34,Utilities & Telecommunications,IT consultant,25788,3200,EUR,Netherlands,Unknown,Many,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Data Coordinator,76200,0,USD,United States,New York,New York City,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Education (Primary/Secondary),High school science teacher,38000,0,USD,United States,Iowa,Lenox,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,developer ,150000,0,EUR,Netherlands,Unknown,Maastricht,11 - 20 years,11 - 20 years,High School,Man
25-34,Computing or Tech,Web developer,140000,0,EUR,Slovakia,Unknown,Bratislava,11 - 20 years,8 - 10 years,High School,Man
35-44,Art & Design,Freelance fashion designer,62400,0,USD,United States,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Lead Developer,155000,0,AUD/NZD,United States,Unknown,Sydney,21 - 30 years,21 - 30 years,College degree,Man
35-44,Entertainment,Director of Strategic Research,135000,0,USD,Canada,Unknown,Torontoo,2 - 4 years,2 - 4 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Group Manager,88000,10000,USD,United States,South Carolina,Greenville ,8 - 10 years,5-7 years,College degree,Man
45-54,Computing or Tech,Contractor,75140,0,GBP,Portugal ,Unknown,Lisbon,21 - 30 years,21 - 30 years,High School,Man
25-34,Science ,Research Scientist,105000,18000,AUD/NZD,United States,Unknown,Geelong ,8 - 10 years,8 - 10 years,PhD,Woman
25-34,Computing or Tech,Senior Project Manager,130000,13000,USD,United States,Massachusetts,Waltham,11 - 20 years,11 - 20 years,College degree,Woman
18-24,Computing or Tech,Software Consultant,80000,5000,USD,United States,Virginia,Arlington,2 - 4 years,2 - 4 years,College degree,Man
25-34,Nonprofits,Development Officer,22400,0,GBP,United Kingdom,Unknown,Rugby,2 - 4 years,1 year or less,College degree,Woman
25-34,Education (Higher Education),Coordinator of undergraduate research and information literacy,52500,0,USD,United States,Mississippi,Columbus,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,childcare ,childminder,19000,0,GBP,United Kingdom,Unknown,Milton Keynes ,5-7 years,5-7 years,College degree,Woman
35-44,Law,Associate General Counsel,92000,2000,USD,United States,North Carolina,Greenville,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Manufacturing,Executive Assistant,51500,5500,GBP,United Kingdom,Unknown,Luton,21 - 30 years,11 - 20 years,High School,Woman
25-34,Computing or Tech,Software engineer,50000,5000,EUR,France,Unknown,Paris,8 - 10 years,8 - 10 years,Master's degree,Woman
55-64,Nonprofits,Executive Assistant,58000,1000,USD,United States,Missouri,Jefferson City,31 - 40 years,11 - 20 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Sr Strategist,82000,15000,USD,United States,California,San Diego,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Senior analyst,62000,5000,USD,United States,New Jersey,"Bridgewater, NJ",5-7 years,5-7 years,College degree,Woman
35-44,Social Work,Clinical social worker,62400,0,USD,United States,Illinois,Peoria,11 - 20 years,11 - 20 years,Unknown,Woman
35-44,Computing or Tech,Director of Enginneering,186000,120000,USD,United States,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Man
35-44,Computing or Tech,Agile Coach,50000,0,EUR,Germany,Unknown,Berlin,11 - 20 years,1 year or less,College degree,Woman
25-34,Education (Higher Education),Senior Student Recruitment Officer,101000,1000,AUD/NZD,United States,Unknown,Melbourne ,5-7 years,5-7 years,College degree,Woman
25-34,Education (Primary/Secondary),Online Middle School Reading Intervention,44200,2000,USD,United States,Alabama,Huntsville but company is in Eufaula,8 - 10 years,5-7 years,College degree,Non-binary
25-34,Nonprofits,Curriculum Manager & Camp Director,30160,0,USD,United States,Florida,Jacksonville,5-7 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Research Instructor ,64000,0,USD,United States,Tennessee,Nashville,8 - 10 years,8 - 10 years,PhD,Man
35-44,"Accounting, Banking & Finance",Vice President Accounting,135000,54000,USD,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Product Specialist and Developer,130000,2000,USD,United States,Kentucky,Florence,5-7 years,5-7 years,PhD,Woman
45-54,Computing or Tech,Senior Software Engineer,80000,8000,GBP,United Kingdom,Unknown,Edinburgh,11 - 20 years,11 - 20 years,PhD,Man
25-34,Government and Public Administration,Civil Servant (U.K.),33000,10000,GBP,United Kingdom,Unknown,London,2 - 4 years,1 year or less,College degree,Woman
25-34,Education (Primary/Secondary),High School Librarian,60000,11000,USD,India,Unknown,Chennai,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Pharmaceutical manufacturing,Senior Quality Control Analyst,64200,6000,USD,United States,Colorado,Boulder,5-7 years,5-7 years,College degree,Woman
25-34,Health care,Financial Planning Manager,136000,9000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Customer Education,130000,12000,USD,United States,Texas,Dallas,2 - 4 years,2 - 4 years,PhD,Man
25-34,Computing or Tech,Head of Product,130000,20000,EUR,Germany,Unknown,Munich,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Business Analyst ,85000,4000,CAD,Canada,Unknown,Toronto,5-7 years,5-7 years,Master's degree,Woman
25-34,Government and Public Administration,Communications Team Lead,102000,20000,CAD,Canada,Unknown,Ottawa,8 - 10 years,8 - 10 years,College degree,Man
25-34,Education (Higher Education),Data analyst,51000,0,USD,United States,Indiana,South Bend,2 - 4 years,2 - 4 years,Master's degree,Man
25-34,Engineering or Manufacturing,Engine Performance Engineer (Tech Lead),120000,18000,USD,United States,Illinois,Peoria Illinois,8 - 10 years,8 - 10 years,Master's degree,Man
45-54,Health care,Inventory Control Manager,67500,1000,USD,United States,Florida,Fort Myers,21 - 30 years,1 year or less,College degree,Woman
25-34,Health care,Dialysis float RN,83000,2400,USD,United States,Virginia,Hampton,5-7 years,5-7 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Strategist ,45000,0,USD,United States,Indiana,Indianapolis,5-7 years,5-7 years,College degree,Woman
35-44,"Marketing, Advertising & PR",Vice President,136000,0,CAD,Canada,Unknown,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Sr Marketing Mgr,140000,14000,USD,United States,New York,New York,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Business or Consulting,Environmental Specialist,75000,5000,CAD,Canada,Unknown,Toronto,5-7 years,8 - 10 years,Master's degree,Woman
45-54,Business or Consulting,Application Consultant ,65000,20000,USD,United States,Michigan,Portage ,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Government and Public Administration,Deputy Attorney General,57324,0,USD,United States,Indiana,Indianapolis,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
under 18,Health care,Doctor,220000,5000,USD,United States,Utah,Utah,2 - 4 years,1 year or less,PhD,Non-binary
35-44,Government and Public Administration,Budget Analyst,95000,2500,USD,United States,Massachusetts,Boston area,11 - 20 years,11 - 20 years,Master's degree,Man
25-34,Computing or Tech,Test engineer,45000,0,USD,United States,Texas,Austin,5-7 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & PR",Director of Digital Marketing,107000,10700,USD,United States,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Engineering or Manufacturing,Engine Performance Engineer (Tech Lead),120000,18000,USD,United States,Illinois,Peoria Illinois,8 - 10 years,8 - 10 years,Master's degree,Man
35-44,Health care,research scientist,113000,3000,USD,United States,Minnesota,eden prairie,5-7 years,5-7 years,PhD,Woman
25-34,Research and Development,Lead Chemist,113000,10000,USD,United States,Illinois,Naperville,5-7 years,5-7 years,PhD,Man
35-44,Computing or Tech,Technical Lead,168000,60000,USD,United States,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Man
35-44,Insurance,Account Manager,58000,0,USD,United States,Connecticut,Wallingford,8 - 10 years,5-7 years,Some college,Woman
35-44,Education (Primary/Secondary),Teacher and school administrator,138000,3000,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Health care,Secretary / Scheduler ,37000,0,USD,United States,Georgia,Sandy Springs,11 - 20 years,1 year or less,College degree,Woman
65 or over,Media & Digital,Media coordinator ,72000,0,CAD,Canada,Unknown,Barrie,31 - 40 years,21 - 30 years,College degree,Man
45-54,Education (Higher Education),Work Study Student,31200,0,USD,United States,Michigan,Detroit,21 - 30 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Sr. Product Manager,140000,14000,USD,United States,Massachusetts,Cambridge,8 - 10 years,5-7 years,PhD,Woman
35-44,Concrete,Inside Sales,44000,0,USD,United States,Minnesota,Mendota Heights,11 - 20 years,1 year or less,College degree,Woman
25-34,Animal Health,QC Chemist,72000,7200,USD,United States,Indiana,Clinton,11 - 20 years,11 - 20 years,College degree,Woman
