City,Industry,Average_Salary
Batavia,"Government and Public Administration",102000.0000
Batavia,"Marketing, Advertising & PR",35500.0000
Batesville,Law,85000.0000
Batesville,"Medical Technology",133000.0000
Bath,"Accounting, Banking & Finance",45000.0000
Bath,"Defense Contractor",69000.0000
Bath,"Education (Higher Education)",27500.0000
Bath,"Engineering or Manufacturing",108300.0000
Bath,"Health care",37500.0000
Bathesda,"Corporate Sustainability ",110000.0000
"Baton Rouge","Accounting, Banking & Finance",59000.0000
"Baton Rouge","Computing or Tech",81600.0000
"Baton Rouge","Education Publishing ",52500.0000
"Baton Rouge","Engineering or Manufacturing",96262.0000
"Baton Rouge",Entertainment,65520.0000
"Baton Rouge","Environmental compliance",54000.0000
"Baton Rouge","Government and Public Administration",68000.0000
"Baton Rouge","Health care",54200.0000
"Baton Rouge",Law,73000.0000
"Baton Rouge","Marketing, Advertising & PR",65000.0000
"Baton Rouge","Recruitment or HR",67800.0000
"Baton Rouge","Utilities & Telecommunications",70000.0000
"Baton Rouge ","Engineering or Manufacturing",61800.0000
"Bay area","Agriculture or Forestry",74000.0000
"Bay Area",Biotech,120000.0000
"Bay Area",Biotech/Pharma,116000.0000
"Bay Area","Computing or Tech",199500.0000
"Bay Area","Education (Higher Education)",60000.0000
"Bay Area","Education (Primary/Secondary)",64000.0000
"Bay Area","Engineering or Manufacturing",75000.0000
"Bay Area",Entertainment,140000.0000
"Bay Area","Health care",191000.0000
"Bay Area",Insurance,80000.0000
"Bay Area",Law,235000.0000
"Bay Area",Nonprofits,80000.0000
"Bay Area","Transport or Logistics",80000.0000
"Bay Area","Video Games",130000.0000
"Bay Area ",Nonprofits,90000.0000
"Bay Area, CA","Business or Consulting",130000.0000
"Bay City","Computing or Tech",70000.0000
"Bay City","Education (Higher Education)",45000.0000
"Bay City","Transport or Logistics",54080.0000
"Bay City ","Hospitality & Events",13000.0000
"Bay of Plenty",Insurance,65000.0000
"Bay St. Louis","Engineering or Manufacturing",84000.0000
BC,Mining,86500.0000
BC,Nonprofits,59800.0000
Beachwood,"Education (Higher Education)",50000.0000
Beachwood,Law,73000.0000
Beacon,"Marketing, Advertising & PR",60000.0000
Beaufort,"Computing or Tech",93000.0000
Beaumont,"Education (Higher Education)",82500.0000
Beaumont,"Engineering or Manufacturing",100000.0000
Beaumont,Insurance,55000.0000
Beaumont,Retail,26100.0000
Beaverton,"Accounting, Banking & Finance",90000.0000
Beaverton,"Art & Design",93600.0000
Beaverton,"Computing or Tech",69000.0000
Beaverton,"Government and Public Administration",120000.0000
Beaverton,"Marketing, Advertising & PR",73000.0000
Beaverton,Nonprofits,34000.0000
Beaverton,Operations,110000.0000
Beaverton,Retail,43130.0000
"Beaverton ","Computing or Tech",114000.0000
"Beaverton ","Data Breach",56410.0000
"Beaverton, OR (Portland suburb)",Nonprofits,67000.0000
Bedford,"Computing or Tech",120000.0000
Bedford,"Engineering or Manufacturing",86000.0000
Bedford,Insurance,59800.0000
"Bedford ","Computing or Tech",35000.0000
"Bedford ",Nonprofits,40000.0000
"Bedford ","Property or Construction",37500.0000
"Bedford, NH","Property or Construction",90000.0000
Bedfordshire,"Accounting, Banking & Finance",80000.0000
Bedminster,Biotech/Pharma,175000.0000
Beijing,"Computing or Tech",38526.0000
Beijing,"Education (Primary/Secondary)",260000.0000
BELFAST,"Accounting, Banking & Finance",32000.0000
Belfast,"Computing or Tech",33427.5000
Belfast,"Education (Higher Education)",24500.0000
Belfast,Environmental,42000.0000
Belfast,"Health care",56000.0000
Belfast,"Marketing, Advertising & PR",35000.0000
Belfast,Nonprofits,78000.0000
"Belfast ",Pharmaceutical,53000.0000
"Belfast - for context, our organization has country-based payscales, not city/state",Nonprofits,83000.0000
Belleville,"Law Enforcement & Security",104640.0000
Bellevue,"Business or Consulting",122000.0000
Bellevue,"Computing or Tech",134900.0000
Bellevue,"Customer Service",41600.0000
Bellevue,"Education (Higher Education)",46750.0000
Bellevue,"Engineering or Manufacturing",62400.0000
Bellevue,Entertainment,112500.0000
Bellevue,"Government and Public Administration",90000.0000
Bellevue,"Marketing, Advertising & PR",91500.0000
Bellevue,Nonprofits,72333.3333
Bellevue,"Property or Construction",40320.0000
Bellevue,"Recruitment or HR",96500.0000
Bellevue,"Utilities & Telecommunications",92562.0000
"Bellevue ","Computing or Tech",100000.0000
"Bellevue ","Health care",70000.0000
"Bellevue ","Telecommunications ",78894.0000
"Bellevue, WA","Utilities & Telecommunications",117000.0000
"Bellevue, wa, usa","Computing or Tech",180000.0000
Bellingham,"Computing or Tech",104525.0000
Bellingham,"Education (Higher Education)",90000.0000
Bellingham,"Engineering or Manufacturing",457000.0000
Bellingham,"Health care",49000.0000
Bellingham,Nonprofits,59000.0000
Bellingham,"Property or Construction",47840.0000
"Bellingham ","Government and Public Administration",93000.0000
"Bellingham (remote)","Computing or Tech",199000.0000
Belmont,"Academic research (Psychology)",36883.0000
Belmont,"Religious (church)",49500.0000
"Belmont, CA (SF Bay Area)","Landscaping/Tree Work",58240.0000
"Belo Horizonte ","Computing or Tech",182000.0000
Beltsville,Biotech/Pharmaceuticals,90000.0000
Bemidji,"Accounting, Banking & Finance",34500.0000
Bemidji,"Health care",62400.0000
Bemidji,Law,95000.0000
"Bemidji ","Engineering or Manufacturing",85000.0000
Bend,Nonprofits,44000.0000
Bennettsville,"Education (Primary/Secondary)",70000.0000
Bennington,"Computing or Tech",120000.0000
Bennington,"Education (Higher Education)",123000.0000
Bensenville,"Property or Construction",60000.0000
Benton,"Agriculture or Forestry",42000.0000
Benton,"Government and Public Administration",50000.0000
"Benton harbor","Engineering or Manufacturing",128000.0000
"Benton Harbor ","Sales Operations",96000.0000
Bentonville,"Computing or Tech",77229.5000
Bentonville,"Education (Primary/Secondary)",51000.0000
Bentonville,Retail,117000.0000
Bentonville,"Transport or Logistics",52000.0000
Bentonville,Unknown,98000.0000
"Bentonville ","Media & Digital",60000.0000
"Bentonville ","Transport or Logistics",170000.0000
"Bergen County","Automotive ",97000.0000
"Bergen County","Engineering or Manufacturing",134000.0000
"Bergen County","Government and Public Administration",45427.0000
Berkeley,"Business or Consulting",87000.0000
Berkeley,"Computing or Tech",185000.0000
Berkeley,"Education (Higher Education)",66375.0000
Berkeley,"Government and Public Administration",113400.0000
Berkeley,"Media & Digital",85000.0000
Berkeley,Nonprofits,135000.0000
Berkeley,"Pharmaceutical Manufacturing",114000.0000
Berkeley,Retail,41000.0000
Berkeley,"University libraries",54000.0000
"Berkeley ","Computing or Tech",74618.0000
"Berkeley ","Education (Higher Education)",70800.0000
"Berkeley ","Health care",131000.0000
"Berkley ","music therapy ",56000.0000
Berlin,"Accounting, Banking & Finance",70000.0000
Berlin,"Business or Consulting",52440.0000
Berlin,"Computing or Tech",140469.2308
Berlin,"Engineering or Manufacturing",80.0000
Berlin,Entertainment,13000.0000
Berlin,"Marketing, Advertising & PR",70000.0000
Berlin,"Media & Digital",30000.0000
Berlin,Nonprofits,75000.0000
Berlin,Pharmaceutical,82000.0000
Berlin,Retail,103000.0000
Berlin,"Transport or Logistics",140000.0000
"Berlin ","Computing or Tech",96000.0000
"Berlin ","Engineering or Manufacturing",84000.0000
"Berlin ",Entertainment,38400.0000
"Berlin ","Government and Public Administration",36000.0000
"Berlin, Germany","Social Work",28800.0000
Berryville,"Health care",38480.0000
Berwick,"Business or Consulting",22880.0000
Berwyn,"Government and Public Administration",60345.0000
Berwyn,"Social Work",45000.0000
Bessemer,"Marketing, Advertising & PR",70000.0000
Bethel,Nonprofits,51000.0000
Bethesda,"Accounting, Banking & Finance",103000.0000
Bethesda,"Business or Consulting",84700.0000
Bethesda,"Computing or Tech",129140.3333
Bethesda,"Education (Higher Education)",41050.0000
Bethesda,"Engineering or Manufacturing",60000.0000
Bethesda,"Government and Public Administration",87404.6667
Bethesda,"Health care",176350.0000
Bethesda,Law,195000.0000
Bethesda,"Media & Digital",61.0000
Bethesda,Nonprofits,95000.0000
Bethesda,"Science academia",65000.0000
Bethesda,"Scientific Research",32500.0000
"Bethesda ","Business or Consulting",250000.0000
"Bethesda ","Government and Public Administration",155000.0000
"Bethesda ","Hospitality & Events",137000.0000
"Bethesda ",Retail,60.0000
"Bethesda MD","Computing or Tech",135000.0000
"Bethesda MD","Government and Public Administration",76000.0000
Bethlehem,"Education (Higher Education)",65125.0000
Bethlehem,"Engineering or Manufacturing",70000.0000
Bethlehem,"Health care",69000.0000
Bethlehem,"Marketing, Advertising & PR",65000.0000
Bethlehem,"Utilities & Telecommunications",92700.0000
"Bethlehem ","Computing or Tech",65000.0000
"Bethlehem ","Education (Higher Education)",54000.0000
"Bethlehem ","Recruitment or HR",147000.0000
"Bethlehem, PA","Utilities & Telecommunications",47090.0000
"Bettendorf ","Social Work",45150.0000
"Beverly Hills",Retail,44200.0000
"Beverly Hills ","Health care",65000.0000
Biddeford,"Education (Higher Education)",42000.0000
Biddeford,Retail,36400.0000
"BIG BEAR CITY","Government and Public Administration",185700.0000
Bigfork,"Accounting, Banking & Finance",62088.0000
bilbao,"Business or Consulting",51.0000
"Billingham ",Pharmaceuticals,38600.0000
Billings,"Accounting, Banking & Finance",34840.0000
Billings,"Government and Public Administration",53040.0000
Billings,"Health care",172000.0000
Billings,"Marketing, Advertising & PR",45000.0000
"Billings ","Environmental sciences",42000.0000
Binghamton,"Education (Higher Education)",80000.0000
Binghamton,"Education (Primary/Secondary)",63000.0000
Birmingham,"Accounting, Banking & Finance",77987.5000
Birmingham,"Art & Design",54.0000
birmingham,"Business or Consulting",59000.0000
Birmingham,"Computing or Tech",55250.0000
Birmingham,"Data Analytics",55000.0000
Birmingham,Edtech,27000.0000
Birmingham,"Education (Higher Education)",45532.7500
Birmingham,"Engineering or Manufacturing",60750.0000
Birmingham,"Government and Public Administration",34116.6667
Birmingham,Insurance,33600.0000
Birmingham,Law,49000.0000
Birmingham,"Marketing, Advertising & PR",52500.0000
Birmingham,"Media & Digital",37388.0000
Birmingham,Nonprofits,38398.0000
Birmingham,"Utilities & Telecommunications",33500.0000
"Birmingham ","Computing or Tech",60000.0000
"Birmingham ","Education (Higher Education)",44363.5000
"Birmingham ","Engineering or Manufacturing",30000.0000
"Birmingham ","Government and Public Administration",27500.0000
"Birmingham ",Insurance,45000.0000
"Birmingham ",Law,180000.0000
"Birmingham ","Marketing, Advertising & PR",44500.0000
"Birmingham ",Nonprofits,37200.0000
"Birmingham ",Retail,44666.6667
"Birmingham ","STEM medical research",40000.0000
"Birmingham UK ","Computing or Tech",156000.0000
"Birmingham, AL","Health care",78000.0000
"Birmingham, AL","Marketing, Advertising & PR",55000.0000
"Birmingham, AL",Nonprofits,71000.0000
"Birmingham, England","Education (Primary/Secondary)",23541.0000
"Birmingham, England","Health care",18642.0000
"Birmingham, UK","Accounting, Banking & Finance",61000.0000
Bishop,"Engineering or Manufacturing",74000.0000
"Bishop ","Health care",118268.0000
Bismarck,environmental,87880.0000
Bismarck,"Government and Public Administration",61032.0000
Bismarck,"Health care",72000.0000
Blacksburg,"Computing or Tech",160000.0000
Blacksburg,"Education (Higher Education)",45000.0000
Blacksburg,"Health care",80000.0000
Blacksburg,"Hospitality & Events",35000.0000
Blaine,"Engineering or Manufacturing",85000.0000
Bloomfield,"Business or Consulting",70000.0000
Bloomfield,Nonprofits,50000.0000
"Bloomfield Hills","Architecture ",53000.0000
"Blooming Prairie","Engineering or Manufacturing",42500.0000
Bloomington,"Accounting, Banking & Finance",110000.0000
Bloomington,"Art & Design",67000.0000
Bloomington,"Computing or Tech",95000.0000
Bloomington,"Educ tech",42000.0000
Bloomington,"Education (Higher Education)",44228.5714
Bloomington,"Educational Technology - hybrid between book publishing and technology really",67000.0000
Bloomington,"Engineering or Manufacturing",57845.0000
Bloomington,"Government and Public Administration",91000.0000
Bloomington,"Health care",80439.6667
Bloomington,Insurance,80556.2000
Bloomington,"Marketing, Advertising & PR",54075.0000
Bloomington,Pharmaceutical,50000.0000
Bloomington,"Property or Construction",38000.0000
Bloomington,"Recruitment or HR",40000.0000
Bloomington,Retail,86000.0000
"Bloomington ","Accounting, Banking & Finance",60000.0000
"Bloomington ","Architect ",96000.0000
"Bloomington ","Computing or Tech",74000.0000
"Bloomington ","Education (Higher Education)",55000.0000
"Bloomington ",Entertainment,111300.0000
"Bloomington ",Insurance,101500.0000
"Bloomington ",Library,70000.0000
"Bloomington ","Utilities & Telecommunications",71000.0000
"Bloomington, IL","Education (Higher Education)",48000.0000
"Bloomington, IN",Libraries,42000.0000
"Blue Bell","Health care",75000.0000
"Blue Bell",Insurance,74000.0000
Bluffdale,Retail,56000.0000
Bluffton,"Education (Primary/Secondary)",54000.0000
"Boca Chica","Engineering or Manufacturing",76000.0000
"Boca Raton","Accounting, Banking & Finance",96642.0000
"Boca Raton","Computing or Tech",165000.0000
"Boca Raton","Recruitment or HR",125000.0000
"Boca Raton","Social Work",43000.0000
"Boca Raton ","Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)",41394.0000
"Boerne ",Retail,23920.0000
Bogota,"Oil & Gas",25000.0000
"Bogotá ","Accounting, Banking & Finance",15000.0000
Boise,"Accounting, Banking & Finance",54700.0000
Boise,"Agriculture or Forestry",88950.0000
Boise,"Computing or Tech",119666.6667
Boise,"Education (Higher Education)",94500.0000
Boise,"Education (Primary/Secondary)",53500.0000
Boise,"Government and Public Administration",55120.0000
Boise,"Health care",126575.0000
Boise,Insurance,91000.0000
Boise,"Landscape Contracting",47840.0000
Boise,"Library ",48000.0000
Boise,"Media & Digital",47000.0000
Boise,Nonprofits,56769.0000
Boise,Retail,119000.0000
Boise,"Utilities & Telecommunications",64303.0000
"Boise ","Computing or Tech",124930.0000
"Boise-but remote. Company located in Boston ","Computing or Tech",144000.0000
Bolingbrook,"Engineering or Manufacturing",60000.0000
Bolivar,"Education (Higher Education)",44000.0000
"Bolton ","Engineering or Manufacturing",30000.0000
"Bonita Springs","Accounting, Banking & Finance",60000.0000
Bonn,"Computing or Tech",58000.0000
Bonn,"Utilities & Telecommunications",101000.0000
Bordeaux,"Computing or Tech",94000.0000
Bordeaux,Law,41303.0000
Boron,"Mining/Resource Extraction",74568.0000
Boston,"Accounting, Banking & Finance",109767.1111
Boston,"Agriculture or Forestry",174400.0000
Boston,"Art & Design",75061.8182
Boston,"Beer sales",60000.0000
Boston,"Bio tech",107250.0000
Boston,Biopharma,132000.0000
Boston,Biotech,132600.0000
Boston,"Biotech / Research",100000.0000
Boston,Biotech/Pharma,107000.0000
Boston,Biotech/pharmaceuticals,222000.0000
Boston,Biotechnology,108500.0000
Boston,"Business or Consulting",114161.2903
Boston,"Computing or Tech",148591.6929
Boston,"Cultural Heritage",60500.0000
Boston,E-Commerce,61800.0000
Boston,"Education (Higher Education)",76456.9538
Boston,"Education (Primary/Secondary)",70420.5000
Boston,"Engineering or Manufacturing",115354.6000
Boston,Fundraising,53000.0000
Boston,"Government and Public Administration",87105.5333
Boston,"Health care",102877.1778
Boston,"I have two jobs. Marketing / Business ",135000.0000
Boston,Insurance,102509.3750
Boston,Law,120556.1379
Boston,"Law Enforcement & Security",49000.0000
Boston,"Leisure, Sport & Tourism",253000.0000
Boston,Libraries,65000.0000
Boston,"Life Sciences",50000.0000
Boston,"Marketing, Advertising & PR",95176.4706
Boston,"Media & Digital",78672.2222
Boston,"Medical Research",43000.0000
Boston,Nonprofits,83943.0175
Boston,Pharma,131000.0000
Boston,Pharma/Biotech,151500.0000
Boston,Pharmaceutical,135000.0000
Boston,"Pharmaceutical ",185000.0000
Boston,"Pharmaceutical Development",230000.0000
Boston,"Pharmaceutical research",90000.0000
Boston,"Pharmaceuticals ",160000.0000
Boston,Pharmacuticals,160000.0000
Boston,"Property or Construction",89583.3333
Boston,"Public health in higher education",67000.0000
Boston,"Public Health- state level",71989.0000
Boston,"Public Library",63000.0000
Boston,publishing,71116.6667
Boston,"Recruitment or HR",93103.8462
Boston,"Renewable Energy",71000.0000
Boston,"Renewable Energy Development",170000.0000
Boston,Research,68681.0000
Boston,"Research Scientist, Pharma",175000.0000
Boston,Retail,92500.0000
Boston,Saas,89000.0000
Boston,Sales,146750.0000
Boston,Scientist,103500.0000
Boston,"Social Work",62333.3333
Boston,"Software Products",115000.0000
Boston,"Transport or Logistics",74000.0000
Boston,"Urban Planning",82500.0000
Boston,"Utilities & Telecommunications",104737.7500
"Boston ","Accounting, Banking & Finance",133825.2000
"Boston ","Art & Design",49000.0000
"Boston ","Business or Consulting",136666.6667
"Boston ","Computing or Tech",124400.0000
"Boston ","Engineering or Manufacturing",90600.0000
"Boston ","Health care",138244.4444
"Boston ",Insurance,125000.0000
"Boston ",Law,300000.0000
"Boston ","Marketing, Advertising & PR",99500.0000
"Boston ",Nonprofits,80000.0000
"Boston ","Pharma/biotechnology ",104500.0000
"Boston ","Recruitment or HR",48000.0000
"Boston ",Sales,70000.0000
"Boston ","Social Work",58500.0000
"Boston (greater Boston metro area)","Computing or Tech",144000.0000
"Boston (Somerville specifically)",Sales,55000.0000
"Boston (suburb)","Computing or Tech",200000.0000
"Boston Area","Biotech ",105000.0000
"Boston Area","Computing or Tech",111575.5000
"Boston area","Government and Public Administration",95000.0000
"Boston area",Law,54000.0000
"Boston area","Marketing, Advertising & PR",115000.0000
"Boston area",Nonprofits,72000.0000
"Boston Area",Retail,75000.0000
"Boston area","Utilities & Telecommunications",121500.0000
"Boston MA","Church ministry",55000.0000
"Boston Massachusetts","Social Work",68000.0000
"Boston Metro",Law,235186.0000
"Boston metro ","Health care",82500.0000
"Boston Metro area","Computing or Tech",180000.0000
"Boston Metro Area","Engineering or Manufacturing",149074.0000
"Boston Suburb",Law,78000.0000
"Boston suburbs","Education (Primary/Secondary)",54000.0000
"Boston suburbs",Library,70000.0000
"Boston, MA","Business or Consulting",82000.0000
"Boston, MA","Computing or Tech",160000.0000
"Boston, MA",Law,85000.0000
"Boston, MA","Media & Digital",85000.0000
"Boston, MA",Nonprofits,53500.0000
"Boston, MA",Pharma,147000.0000
"Boston, MA",Sales,104722.0000
"Boston(ish) ","Leisure, Sport & Tourism",45000.0000
Boston/Cambridge,"Computing or Tech",62400.0000
Bothell,Biotech/Pharma,145000.0000
Bothell,"Computing or Tech",143600.0000
Bothell,"Health care",110000.0000
Bothell,"Leisure, Sport & Tourism",36962.0000
Boulder,"Accounting, Banking & Finance",54000.0000
Boulder,"Art & Design",70000.0000
Boulder,"Business or Consulting",67075.0000
Boulder,Cannabis,65000.0000
Boulder,"Computing or Tech",175694.1176
Boulder,"Education (Higher Education)",60000.0000
Boulder,"Engineering or Manufacturing",117000.0000
Boulder,"Health care",50000.0000
Boulder,Library,74000.0000
Boulder,"Marketing, Advertising & PR",168000.0000
Boulder,Nonprofits,88625.0000
Boulder,"Pharmaceutical manufacturing",64200.0000
Boulder,"Physical sciences",103000.0000
Boulder,Publishing,63000.0000
Boulder,Retail,88750.0000
Boulder,"Science publishing",103000.0000
"Boulder ",Retail,62666.6667
"Boulder but we are remote",Nonprofits,162000.0000
"Boulder City","Utilities & Telecommunications",73330.0000
Bournemouth,"Computing or Tech",49500.0000
Bournemouth,"Health care",30000.0000
"Bowling Green","Education (Higher Education)",76000.0000
"Bowling Green","Engineering or Manufacturing",113000.0000
"Bowling Green","Real estate services",47500.0000
"Bowling Green",Software,78000.0000
Boxborough,"Engineering or Manufacturing",160000.0000
"Boynton Beach","Accounting, Banking & Finance",33200.0000
"Boynton Beach",Law,93000.0000
Bozeman,"Accounting, Banking & Finance",69916.0000
Bozeman,"Computing or Tech",90000.0000
Bozeman,"Education (Higher Education)",35140.0000
Bozeman,"Government and Public Administration",46000.0000
Bozeman,"Leisure, Sport & Tourism",75000.0000
Bozeman,Nonprofits,35360.0000
"Bozeman, MT","Marketing, Advertising & PR",185000.0000
Bracknell,Research,40000.0000
Bradenton,"Computing or Tech",160000.0000
Bradenton,"Education (Primary/Secondary)",44631.6667
Bradenton,"Public Library",44500.0000
Bradford,"Health care",72000.0000
"Bradford ","Education (Primary/Secondary)",39000.0000
Braine,pharma,65000.0000
Brambleton,"Health care",40000.0000
Brampton,"Government and Public Administration",62000.0000
Brampton,"Recruitment or HR",57000.0000
Branchburg,"Property or Construction",156800.0000
Brandon,Retail,27000.0000
Branford,Pharmaceutical,43000.0000
Branford,"Pharmaceutical ",43000.0000
Brantford,"Engineering or Manufacturing",101000.0000
Bratislava,"Computing or Tech",140000.0000
Brattleboro,"Aerospace and Defense Manufacturing",60000.0000
Brattleboro,Nonprofits,43800.0000
Braunschweig,"Computing or Tech",58000.0000
"Braunschweig ","Computing or Tech",45000.0000
Brea,"Transport or Logistics",67000.0000
Bremen,"Business or Consulting",82000.0000
Bremerhaven,"Health care",54870.0000
Bremerton,"Education (Higher Education)",60000.0000
Bremerton,"Government and Public Administration",107670.0000
Brentwood,"Education (Primary/Secondary)",55232.0000
Brentwood,"Health care",114000.0000
"Brentwood ","Accounting, Banking & Finance",78000.0000
"Brentwood ",Retail,30000.0000
Brewster,"Marketing, Advertising & PR",135400.0000
Brick,"Accounting, Banking & Finance",77776.0000
Bridgend,"Health care",150000.0000
Bridgeport,"Health care",139000.0000
Bridgeport,Insurance,155000.0000
Bridgewater,"Education (Higher Education)",39000.0000
Bridgewater,"Marketing, Advertising & PR",130000.0000
"Bridgewater ","Health care",175000.0000
"Bridgewater, NJ","Computing or Tech",62000.0000
"Brigham City","Engineering or Manufacturing",74000.0000
Brighton,"Accounting, Banking & Finance",57000.0000
Brighton,"Business or Consulting",66850.0000
Brighton,"Computing or Tech",51500.0000
Brighton,Digital,42860.0000
Brighton,"Education (Higher Education)",55000.0000
Brighton,"Engineering or Manufacturing",52200.0000
Brighton,"Health care",30807.5000
Brighton,"Leisure, Sport & Tourism",23000.0000
Brighton,"Marketing, Advertising & PR",22676.0000
Brighton,"Media & Digital",37500.0000
Brighton,"Transport or Logistics",51000.0000
"Brighton & Hove","Marketing, Advertising & PR",34500.0000
"Brighton, MI","Environmental Consulting",52000.0000
Brisbane,"Accounting, Banking & Finance",73673.3333
Brisbane,"Agriculture or Forestry",90000.0000
Brisbane,"Computing or Tech",112600.0000
Brisbane,"Education (Higher Education)",103500.0000
Brisbane,"Engineering or Manufacturing",115850.0000
Brisbane,Entertainment,55000.0000
Brisbane,"Government and Public Administration",105862.0000
Brisbane,"Health care",98000.0000
Brisbane,"Hospitality & Events",32000.0000
Brisbane,Law,215000.0000
Brisbane,"Marketing, Advertising & PR",63200.0000
Brisbane,"Media & Digital",140000.0000
Brisbane,"Mining and natural resources",200000.0000
Brisbane,Nonprofits,85000.0000
Brisbane,Sales,43313.0000
Brisbane,"Transport or Logistics",100000.0000
"Brisbane ","Computing or Tech",89000.0000
"Brisbane ","Education (Higher Education)",104000.0000
"Brisbane ","Government and Public Administration",106000.0000
"Brisbane ",Law,70000.0000
"Brisbane ","medical research ",69000.0000
"Brisbane ",Retail,85000.0000
"Brisbane, Queensland",Environment,730000.0000
Bristol,"Accounting, Banking & Finance",42000.0000
Bristol,"Business or Consulting",55000.0000
Bristol,"Computing or Tech",54947.5000
Bristol,"Engineering or Manufacturing",60000.0000
Bristol,Entertainment,83500.0000
Bristol,"Government and Public Administration",42839.0000
Bristol,"Health care",19797.0000
Bristol,"Law Enforcement & Security",24870.0000
Bristol,Manufacturing,89000.0000
Bristol,"Marketing, Advertising & PR",200000.0000
Bristol,Nonprofits,101983.3333
Bristol,"Not for profit education consultancy",36700.0000
Bristol,"Property or Construction",27000.0000
Bristol,"Transport or Logistics",55.0000
"Bristol ","Accounting, Banking & Finance",24000.0000
"Bristol ","Government and Public Administration",36000.0000
"Bristol ","Health care",98000.0000
"Bristol ",Nonprofits,35208.0000
"Bristol UK","Computing or Tech",25881.0000
"Bristol, UK","Government and Public Administration",39000.0000
Bristow,"Healthcare IT",106080.0000
"British columbia","Agriculture or Forestry",68500.0000
"British Columbia","Government and Public Administration",80000.0000
"British Columbia (not a city, but I am rural)",Nonprofits,65000.0000
"British Columbia (Province)","Education (Higher Education)",106469.0000
Brittany,"Transport or Logistics",24000.0000
Brno,"Computing or Tech",1300000.0000
Brockton,"Engineering or Manufacturing",79600.0000
Brockville,"Public Library",47000.0000
"Broken Arrow","Computing or Tech",32747.0000
"Broken Arrow","Engineering or Manufacturing",37638.0000
"Broken Arrow",Entertainment,40500.0000
"Broken Arrow ","Restaurant ",38000.0000
Bronx,"Computing or Tech",65000.0000
Bronx,"Education (Higher Education)",85000.0000
Bronx,Law,89470.0000
Bronx,"Social Work",67500.0000
Brookfield,"Computing or Tech",120000.0000
Brookfield,Nonprofits,60000.0000
Brookline,Nonprofits,67500.0000
Brooklyn,"Accounting, Banking & Finance",150000.0000
Brooklyn,"Art & Design",79900.0000
Brooklyn,"Business or Consulting",90000.0000
Brooklyn,"Computing or Tech",133466.6667
Brooklyn,"Education (Higher Education)",115500.0000
Brooklyn,"Education (Primary/Secondary)",96300.0000
Brooklyn,Entertainment,200000.0000
Brooklyn,"Government and Public Administration",114000.0000
Brooklyn,"Health care",153500.0000
Brooklyn,Law,103000.0000
Brooklyn,"Librarian ",58000.0000
Brooklyn,"Marketing, Advertising & PR",125000.0000
Brooklyn,"Media & Digital",128500.0000
Brooklyn,Nonprofits,66500.0000
Brooklyn,"Property or Construction",45000.0000
Brooklyn,Retail,58589.5000
Brooklyn,"Social Work",61000.0000
Brooklyn,"Supply Chain",98736.0000
"Brooklyn ","Business or Consulting",87550.0000
"Brooklyn ","Education (Higher Education)",115000.0000
"Brooklyn ","Education (Primary/Secondary)",89000.0000
"Brooklyn ","Fashion/e-commerce ",58500.0000
"Brooklyn ",Law,81000.0000
"Brooklyn ",Nonprofits,120000.0000
"Brooklyn ","Professional services / architecture ",78000.0000
"Brooklyn (WFH)","Computing or Tech",70000.0000
"Brooklyn Park","Engineering or Manufacturing",110000.0000
"Brooklyn Park, MN","Health care",96000.0000
Brookston,"Education (Primary/Secondary)",38083.0000
"Brooksville ","Government and Public Administration",80000.0000
Brookville,"Engineering or Manufacturing",38000.0000
Broomfield,"Accounting, Banking & Finance",55325.0000
Broomfield,"Computing or Tech",102500.0000
Broomfield,"Engineering or Manufacturing",72200.0000
Broomfield,"Recruitment or HR",86500.0000
"Broomfield ","Computing or Tech",190000.0000
Brownsville,"Education (Primary/Secondary)",48475.0000
Brunswick,"Property or Construction",55000.0000
Brunswick,"Sales operations",75000.0000
Brussel,"Computing or Tech",70000.0000
Brussels,"Accounting, Banking & Finance",114333.3333
Brussels,"Business or Consulting",40000.0000
Brussels,"Computing or Tech",79833.3333
Brussels,"Education (Primary/Secondary)",60000.0000
Brussels,"Government and Public Administration",48333.3333
Brussels,"Health care",170000.0000
Brussels,Nonprofits,24550.0000
"Brussels ",Unknown,32400.0000
"Bryn Mawr","Health care",97000.0000
Bucharest,"Computing or Tech",8600.0000
Bucharest,"Engineering or Manufacturing",80000.0000
Buckhannon,"Education (Primary/Secondary)",39820.0000
"Buckinghamshire ","Education (Primary/Secondary)",29420.0000
Budapest,"Computing or Tech",69241.0000
"Buenos Aires","Accounting, Banking & Finance",845000.0000
"Buenos Aires","Government and Public Administration",780000.0000
Buffalo,"Accounting, Banking & Finance",49316.0000
Buffalo,"Beauty Manufacturing & Education ",35360.0000
buffalo,"Computing or Tech",72500.0000
Buffalo,"Education (Higher Education)",85857.2500
Buffalo,"Engineering or Manufacturing",100666.6667
Buffalo,"Government and Public Administration",80000.0000
Buffalo,"Government Contracting R&D",100000.0000
Buffalo,"Health care",60500.0000
Buffalo,"Hospitality & Events",40000.0000
Buffalo,Law,57000.0000
Buffalo,"Marketing, Advertising & PR",51500.0000
Buffalo,"Media & Digital",95000.0000
Buffalo,Nonprofits,57448.4000
Buffalo,"Recruitment or HR",75500.0000
Buffalo,"Social Work",37000.0000
